ruta_final
"[[42, 27, 46, 34, 68], [40, 65, 31, 39, 9], [75, 74, 70, 61, 64, 43, 3, 38], [50, 58, 10, 11, 19, 15], [2, 29, 7], [35, 8, 69, 71, 33, 24, 55], [37, 17, 12, 32, 72, 53, 67], [23, 62, 22, 5, 13, 26], [59, 48, 21, 30, 44, 51], [66, 14, 54, 20, 57], [28, 1, 41, 56], [4, 45, 6], [18, 25, 49, 16, 63, 73, 47, 60, 36, 52]]"
"[[61, 22, 32, 25, 50, 3, 17], [5, 62, 6, 4], [35, 8, 10, 39, 55, 44, 33], [20, 37, 48, 63], [26, 53, 11, 38, 45, 36], [42, 9, 66, 59, 7, 13, 15], [75, 40, 24, 64, 47], [14, 65, 27, 57, 71, 74, 1, 56, 23, 49], [68, 30, 28, 69, 52, 19, 16], [12, 58, 72, 18, 41, 43, 70, 34], [54, 46, 29, 60, 21, 2, 73], [67, 31, 51]]"
"[[51, 32, 24, 21, 69, 37], [9, 72, 10], [50, 13, 15, 30, 64], [7, 61, 22, 62, 55, 31, 38, 52], [75], [11, 39, 19, 20, 70, 67], [42, 23, 49, 44, 17, 40, 26], [6, 63, 43, 48, 57, 29], [5, 36, 60, 2, 54, 8, 46], [16, 71, 74, 4], [12, 18, 25, 53, 35, 27], [66, 65, 45, 47, 33, 73], [68, 28, 1, 56, 41], [34, 59, 14, 58, 3]]"
"[[45, 60, 1, 63, 16, 50, 2], [40, 43, 47, 21, 48, 75], [19, 9, 18, 6], [32, 24, 23, 41, 72, 66, 38], [27], [39, 31, 59, 11, 35, 5], [46, 37, 20, 57, 52], [26, 7, 25, 3, 56, 33, 73, 17], [67, 62], [13, 15, 53, 65, 58, 10], [12, 55, 49, 28, 64, 69, 70, 68], [14, 34, 29, 42, 51, 44], [30, 74, 61, 22, 36, 71, 54, 8, 4]]"
"[[44, 75, 30, 36, 34], [6, 51, 63, 50, 32, 31, 72, 7], [54, 48, 47, 69, 22, 1, 9], [4, 67, 58, 39, 40], [62, 37, 29], [53, 11, 59, 55, 12, 17, 68], [19], [27, 23, 56, 41, 42, 64, 28], [14, 46, 57, 43], [15, 71, 60, 21, 2, 74], [8, 13, 35, 38, 25], [16, 24, 10, 65, 26], [5, 20, 70, 61, 3], [33, 73, 49, 18, 66, 52, 45]]"
"[[32, 44, 22, 48, 34, 46, 35], [66, 58, 39, 6, 43, 69, 15], [63, 73, 42, 70, 60, 37, 4, 19, 12], [17, 9, 55, 38, 14, 26], [3, 49, 23, 56, 1, 72, 30, 47, 74, 68], [11, 65, 31, 75], [40, 16, 41, 28, 36, 27], [67, 7, 59, 54, 62, 24], [2, 64, 61, 20, 8, 52], [51, 50, 10], [45, 21, 71, 5, 29], [33, 18, 25, 53, 13, 57]]"
"[[6, 75], [73, 1, 63, 44, 14, 38, 58], [17, 9, 11, 7], [10, 39, 32, 24], [22, 40], [34, 2, 30, 47, 36, 71, 37, 5], [15, 3, 31, 12], [52, 70, 57, 29, 48, 62], [42, 56, 25, 50, 26, 45, 46], [33, 43, 23, 18, 72, 53, 19, 54, 68], [16, 64, 41, 61, 69, 20, 35, 13], [66, 67], [4, 27, 21, 28, 49, 55], [51, 74, 60, 8, 59, 65]]"
"[[49, 43, 69, 20, 46, 38, 35], [40], [13, 60, 61, 64, 28, 6, 39], [68, 17, 25, 32, 26, 67, 52], [51, 55, 72, 11, 14, 8, 19, 54, 71], [57, 59, 10, 58, 50, 24], [3, 63, 23, 42, 73, 62, 47, 70, 36, 48, 74], [2, 34, 31], [56, 18, 9, 12], [4, 7, 65, 16, 44], [45, 37, 5, 21, 41, 1], [53, 66, 27, 15, 22], [75, 33, 30, 29]]"
"[[6, 68, 55, 38, 59, 52], [13, 54, 65, 10, 72, 41, 62, 69, 36, 45], [11], [4, 46, 14, 35, 12], [18, 23, 22, 1, 61, 20, 57, 19, 7], [66, 16, 21, 60, 71, 37], [26, 5, 30, 73, 49, 44, 39, 31], [28, 47, 48, 29, 15, 34], [33, 42, 3, 51, 40, 58], [74, 2, 32, 67], [75, 43, 24], [9, 50, 53, 8], [17, 25, 63, 56, 64, 70, 27]]"
"[[13, 21, 69, 64, 22, 16, 3, 45], [8, 47, 70, 20, 37, 61, 1], [12, 55, 58, 46, 30, 4], [24, 44, 25, 39, 31, 65], [54, 57, 5, 51, 32, 18, 67], [52, 11, 49, 41, 33], [28, 38, 10, 72], [6, 71, 74, 62, 43, 63, 40, 26], [66, 59, 17, 73, 42, 56], [34, 9], [50, 23, 36, 60, 15, 68, 7, 53, 35, 75], [2, 29, 48, 27, 19, 14]]"
"[[68, 63, 33, 2, 36, 27, 26], [30, 61, 62, 43, 3], [7, 59, 53, 32, 25, 44, 16], [19, 14, 35, 8, 52, 1, 49], [34, 75], [9, 55, 23, 6, 73, 21, 60], [46, 65, 58], [13, 20, 70, 74, 28, 67], [24, 18, 12, 11, 66], [71, 69, 41, 64, 17, 40, 72, 31], [4, 37, 57, 56, 51], [42, 47, 45, 15, 38, 10, 39], [54, 29, 5, 48, 22, 50]]"
"[[69, 21, 74, 58], [27, 45, 15, 57, 8, 65, 59, 75], [26, 38], [43, 61, 20, 37, 46, 67], [5, 30, 42, 23, 16], [53, 12, 39, 55, 49], [70, 13, 54, 66, 11, 10], [62, 19], [63, 56, 41, 33, 40, 31, 72], [71, 52, 34, 7, 17, 50, 25, 44, 3], [68, 47, 48, 1, 24, 51], [4, 6, 73, 28, 29], [18, 35, 14, 60, 36], [9, 32, 22, 64, 2]]"
"[[22, 57, 46], [73, 16, 50, 44, 35, 59, 66], [43, 30], [48, 61, 1, 49, 9, 11, 7], [63, 56, 24, 68], [37, 36, 27, 53, 39, 25, 26], [45, 47, 15, 52, 34, 58, 38], [51, 17, 32, 3, 23, 41, 42, 6], [64, 71, 70], [65, 31, 18, 33, 28, 20], [8, 10, 12, 62, 21, 69, 2], [14, 19, 54, 13, 60, 5, 75], [40, 55, 72, 67, 4, 29, 74]]"
"[[6, 22, 41, 56, 23, 20, 13, 26], [75, 48, 71, 64, 46], [28, 30, 19, 11, 25], [68, 29, 53, 31, 40, 12], [4, 54, 5, 21, 32, 51], [55, 10, 38, 52, 69, 36, 42, 73], [2, 74, 61, 43, 63], [34, 27, 57, 60, 70, 15, 14, 35], [3, 1, 62, 45, 67, 8], [37, 33, 39, 9, 18, 49], [59, 66, 58, 50, 24], [17, 7, 65, 72, 44, 16, 47]]"
"[[67, 6, 1, 28, 48, 15], [33, 44, 32, 11], [68, 50, 55, 72, 10, 65], [4, 27, 34, 8, 39], [36, 47, 53, 18], [26, 35, 70, 54, 19, 31, 9, 12], [37, 69, 62, 43, 46], [23, 41, 42, 21, 20], [7, 30, 25, 24, 51], [75, 57, 29, 5, 22, 64, 56], [59, 14, 38, 40], [17, 3, 63, 2, 74, 45, 13, 52], [66, 58, 49, 73, 61, 71, 60, 16]]"
"[[56, 55, 25, 72, 12, 17, 61, 47, 37], [54, 7, 59, 31, 40, 24], [58, 8, 34, 41, 2], [66, 60, 70, 71, 16], [18, 65, 11, 14, 35, 13, 29], [73, 64, 1, 62, 28, 19], [26, 3, 32, 9, 10, 38], [27, 45, 15, 48, 30, 68, 50], [21, 36, 57, 49], [6, 46, 52, 53, 67, 75], [51, 63, 43, 42, 22, 33, 44, 39], [4, 5, 20, 69, 74, 23]]"
"[[32, 16, 47, 2], [40, 26], [49, 56, 1, 43, 22, 61, 71, 15, 52], [7, 70, 4], [55, 50, 41, 21, 28], [8, 35, 65, 59, 14, 57, 36], [67, 58, 24, 48], [75, 6, 33, 23, 62, 68, 34], [74, 42, 18, 53, 13, 5, 45], [3, 12, 9, 31, 38], [51, 25, 73, 64, 37, 69, 29], [63, 44, 39, 72, 10, 17], [54, 46, 20, 60, 30], [66, 11, 19, 27]]"
"[[72, 5, 48], [29, 59, 10, 58, 18, 32], [16, 22, 69, 60, 20], [27, 13, 19, 39, 25, 49, 56, 74, 70, 37], [14, 26, 50, 24, 43, 41, 73], [65, 53, 7, 17, 62], [44, 64, 2, 30, 51], [4, 66, 38, 40], [33], [6, 42, 15, 52, 34, 67, 12], [46, 9, 55, 11, 54, 47], [75, 68, 45, 21, 71, 57, 8, 35], [36, 61, 28, 1, 63, 23, 3, 31]]"
"[[30, 6, 24, 44, 72, 11], [1, 42, 23, 18, 50, 39, 9, 26], [64, 15, 46], [17, 13, 36, 48, 74, 62, 43], [38, 65, 53, 35, 75, 22, 51], [66, 59, 54, 67, 28], [4, 2, 69, 47, 5, 27, 7], [68], [29, 21, 19, 10, 31, 40], [70, 20, 71, 61, 41, 33, 73, 3, 25], [60, 52, 14], [37, 8, 34, 12, 32, 55, 16, 49], [58, 56, 63, 57, 45]]"
"[[40, 6, 61, 68, 4], [12, 15, 14, 65, 18], [45, 70, 60, 71, 37, 8], [16, 73, 1, 62, 2, 19, 53], [33, 22, 41, 30, 69, 36, 5, 29], [28, 55, 9, 58, 35, 13], [67, 51, 49, 42, 21, 57, 59], [31, 32, 23, 47, 20, 46], [34, 52, 27, 7, 38, 72, 75], [17, 56, 74, 54, 10, 39], [64, 43, 11, 66], [26, 3, 44, 25, 50, 24, 63, 48]]"

ESTADÍSTICAS
operador,OR-opt
instancia,CMT2.vrp
conSplit,true
num_ejecuciones,30
tiempo_total_ms,1306.3321
mejor_costo,1723.83
mejor_ruta,"[[61, 21, 36, 70, 57, 15, 30, 41, 23, 49], [4, 74, 71, 3, 32, 55, 38, 10], [48, 37, 64, 1, 50, 34], [44, 56, 69, 5, 20, 27], [52, 35, 58, 72, 39, 67], [68, 6, 63, 42, 22, 62, 47, 60, 29], [26, 59, 11, 12, 16], [17, 28, 25, 65, 14, 8, 19], [75, 45, 13, 53, 7, 31], [2, 54, 46], [51, 33, 73, 24, 40], [66, 9, 18, 43]]"
peor_costo,1809.16
peor_ruta,"[[33, 44, 12, 53], [56, 73, 28, 20, 60, 36, 47], [2, 51, 39, 40], [4, 27, 59, 35, 25, 24, 23, 49], [52, 13, 21, 22, 32, 50], [7, 63, 61, 64, 37, 15, 31], [17, 38, 58, 9, 18, 41], [75, 11], [46, 29, 48, 62, 43, 55, 65, 54], [26, 3, 42, 1, 71, 69, 30], [72, 10, 67], [45, 5, 70, 57, 6, 16], [68, 74, 19, 14, 66, 8, 34]]"
promedio,1769.19
desviacion_tipica,22.82
