ruta_final
"[[4, 60, 70, 15, 34, 35, 65, 38, 39], [46, 7, 58, 18, 41, 42, 51, 6], [45, 47, 71, 22, 1, 62, 75], [26, 11, 66, 63], [33, 28, 2, 52], [40, 44, 21, 20, 27, 8], [14, 31, 25, 64, 61], [12, 10, 55, 50, 43, 48, 29], [68, 30, 73, 23, 32, 9, 53, 13], [19, 54, 5, 74, 16, 49, 24, 17], [67, 59, 57, 37, 36, 69, 56, 3, 72]]"
"[[9, 42, 60, 70, 75], [59, 65, 10, 25, 18, 23, 16], [7, 46, 28, 49, 24, 3], [8, 74, 2, 63, 51], [52, 30, 71, 21, 73], [50, 32, 40], [26, 14, 54, 13, 37, 69, 47], [29, 5, 34, 35, 53, 66], [67, 19, 15, 36, 22, 43, 68, 17], [6, 56, 41, 62, 20], [44, 55, 31, 11, 58, 72, 39, 12], [64, 33, 38], [4, 45, 27, 57, 48, 61, 1]]"
"[[25, 24, 33, 42, 62, 30], [53, 8, 15, 5, 64, 63, 32], [4, 45, 21, 61], [39, 46, 57, 47, 28, 75], [2, 13, 19, 14, 31, 55, 17], [51, 73, 69, 60, 20, 54, 7, 34], [38, 65, 11], [59, 52, 29, 70, 71, 22, 43, 3, 44, 68], [1, 48, 36, 37, 27, 67], [40, 72, 10, 9, 18, 49, 56, 23], [35, 66, 26, 12, 16, 6, 74], [58, 50, 41]]"
"[[68, 71, 20, 53, 65, 58, 25, 40], [45, 69, 37, 59, 14], [49, 24, 3, 44, 39], [33, 36, 54, 19, 38, 31, 26], [75, 1, 43, 23, 50, 32, 51], [6, 2, 62, 42, 47, 15, 57, 30], [10, 11, 8, 52, 70], [7, 66, 55, 72, 12, 17], [48, 13, 46, 34], [27, 5, 60, 21, 74, 41, 56], [4, 29, 28, 64, 16, 18], [67, 35, 9, 63, 73, 22, 61]]"
"[[16, 22, 74, 47, 37], [73, 64, 41, 9, 34], [36, 20, 14, 59, 65, 38, 7], [61, 70, 15, 45, 19, 66], [56, 42, 4, 53], [30, 5, 8, 67, 26, 40], [51, 44, 58, 35, 13, 60, 28], [46, 52, 48, 69, 33, 75], [12, 11, 39, 24, 23, 43, 63], [68, 29, 21, 2, 49, 17], [27, 54, 72, 25, 55, 18, 50, 32, 3], [6, 1, 62, 71, 57, 10, 31]]"
"[[5, 34, 66, 25, 55, 49, 23, 73, 3], [4, 30, 15, 37, 61, 74, 68, 75], [10, 31, 18], [43, 40, 72, 58, 11, 59], [46, 65, 19, 13, 27, 36, 64, 42], [16, 56, 2, 8, 53], [22, 21, 47, 60, 70, 67], [17, 32, 7, 29, 69], [6, 63, 41, 28, 48, 71, 54, 39], [62, 1, 24, 44, 9, 51, 26], [52, 35, 12, 50, 33], [45, 20, 57, 14, 38]]"
"[[30, 73, 1, 28, 74, 29, 57, 13], [38, 39, 24, 16, 43, 62], [21, 56, 26, 53, 19, 46], [65, 32, 18, 49, 63, 64, 36, 75], [34, 10, 72, 9, 33, 22, 69, 68], [3, 50, 23, 41, 42, 61, 71, 15, 59, 35], [58, 7, 67, 37, 60, 4], [31, 14, 8, 27], [17, 40, 11, 52, 70], [45, 54, 20, 47, 2, 6, 12], [51, 44, 25, 55, 66, 5, 48]]"
"[[40, 23, 22, 28, 47, 30], [2, 74, 1, 41, 64, 69, 71, 5, 15], [26, 11], [75, 57, 59, 12, 72, 39, 55, 56], [51, 44, 25, 24, 43, 42, 61, 62, 73], [49, 32, 66, 8, 46], [36, 13, 52, 19, 58, 9, 3, 6], [38, 34, 20, 70, 21, 45, 68], [67, 29, 37, 33], [18, 31, 65, 53, 14, 35], [50, 16, 60, 4], [17, 63, 48, 27, 54, 7, 10]]"
"[[3, 6, 21, 67], [8, 19, 11, 65, 10, 33], [45, 2, 61, 23, 24, 18, 50], [28, 48, 52], [27, 20, 62, 42, 43, 49, 9], [63, 74, 47, 71, 5, 13], [22, 64, 41, 1, 16], [34, 59, 58, 32, 56], [35, 55, 17, 73, 69, 30], [26, 12, 25, 72, 7, 57, 4, 68], [66, 38, 39, 40, 44, 51], [31, 53, 46, 29, 15, 37, 60, 36], [75, 70, 54, 14]]"
"[[67, 38, 72, 44, 1, 48, 45], [42, 32, 12, 35, 8, 34], [56, 18, 58, 26, 46, 29, 70, 69], [68, 50, 55, 31, 39, 9], [74, 21, 22], [75, 2, 73, 16, 11, 59], [64, 36, 60, 37, 27, 65], [63, 41, 62, 28, 61, 71, 5, 30], [7, 14, 10, 40, 17], [47, 20, 15, 4], [3, 24, 49, 23, 43, 33], [25, 66, 54, 13], [52, 57, 19, 53, 51, 6]]"
"[[67, 34, 70, 60, 41, 56, 49], [5, 37, 57, 27, 54, 59, 35], [9, 33, 63, 64, 36, 71, 15, 8], [68, 24, 55, 11, 14], [3, 2, 61, 21, 47, 48], [66, 12, 43, 75], [53, 31, 32, 23, 62, 30], [19, 65, 38, 58, 39, 18, 51], [26, 46, 7, 10, 25, 6], [17, 44, 50, 42, 73, 28, 20], [4, 29, 69, 13, 72], [52, 45, 74, 22, 1, 16, 40]]"

ESTADÍSTICAS
operador,2-opt
instancia,CMT2.vrp
conSplit,true
num_ejecuciones,30
tiempo_total_ms,621.5851
mejor_costo,1567.85
mejor_ruta,"[[40], [75, 62, 28, 64, 1, 3], [32, 24, 55, 25, 59, 53], [6, 16, 2, 74, 47, 71, 46], [7, 35, 65, 38, 10, 72, 39, 44, 42], [17, 56, 41, 69, 37, 13, 54, 27, 68], [58, 67, 4, 20, 70, 36, 63], [5, 15, 8, 11, 9], [34, 66, 57, 45, 21, 61, 73], [26, 31, 50, 18, 33, 51], [12, 14, 19], [52, 29, 60, 48, 30, 22, 43, 23, 49]]"
peor_costo,1741.80
peor_ruta,"[[1, 25], [67, 20, 36, 47, 74, 49, 16], [29, 5, 19, 66, 26], [17, 51, 61, 45, 59, 14], [33, 42, 50, 10, 65], [15, 70, 69, 21, 64, 41, 12], [44, 24, 62, 22, 60, 57, 13, 35, 7], [43, 18, 9, 8, 4], [75, 68, 48, 63, 56, 3, 32], [30, 23, 55, 31, 46, 52], [34, 27, 54, 11, 38, 58], [39, 72, 53, 37, 71, 28, 2, 6], [40, 73]]"
promedio,1676.44
desviacion_tipica,39.66
