ruta_final
"[[30, 49, 12], [36, 35, 16, 5, 42, 19, 41, 13, 25], [17, 37, 15, 45, 39, 10, 11, 22, 20, 28, 26], [32, 21, 2, 48, 7, 23, 24, 40, 44, 47], [6, 27, 8, 31, 50, 34, 9, 33, 4, 46], [38, 29, 3, 1, 43, 14, 18]]"
"[[46, 12, 5, 38, 9, 30, 50, 21, 29, 36, 22, 26, 24], [47, 4, 16, 20], [27, 7, 23, 14, 40, 39, 49, 3, 1], [11, 35, 34, 41, 18], [32, 2, 28, 31, 8, 48, 6], [43, 25, 13, 19, 42, 44, 15, 45, 33, 10, 37, 17]]"
"[[11, 49, 12, 42, 4, 14, 24, 7], [22, 3, 35, 29, 16, 50, 34, 39, 33, 15, 40], [47, 5, 30, 38, 48, 23, 6], [27, 31, 36, 10, 45, 19, 41, 25, 18], [1, 2, 21, 20, 28, 8, 26, 43, 37, 46], [32, 9, 44, 17, 13]]"
"[[47, 27, 31], [17, 37, 15, 45, 34, 35, 38, 11, 1, 24, 6], [26, 28, 2, 29, 50, 9, 30, 39, 49, 5], [12, 18], [46, 32, 22, 8, 48, 43, 14], [4, 10, 44, 42, 19, 40, 41, 13, 25, 7], [23, 3, 36, 20, 21, 16, 33]]"
"[[26, 29, 21, 16, 11, 5, 10, 45, 44, 19, 4, 17], [25, 18, 33, 30, 34, 1, 27], [6, 23, 7, 43, 24, 14], [8, 22, 36, 35, 2, 49, 15, 40, 37, 12], [28, 9, 39, 41, 47], [46, 32, 38, 50, 20, 3, 31, 48, 13, 42]]"
"[[21, 29, 36, 31, 26, 7, 43, 24, 25, 13, 41], [18, 17, 15, 12, 20], [1, 28, 2, 38, 45, 44, 42, 4], [5, 39, 35, 3, 8, 23, 6, 27], [47, 14, 40, 19, 37, 49, 30, 32], [46, 11, 9, 33, 10, 34, 50, 16, 22, 48]]"
"[[19, 40, 18], [17, 42, 44, 37, 10, 49, 38, 50, 16, 29, 2, 11], [6, 7, 43, 24, 25, 41, 39, 47], [23, 26, 1, 21, 34, 5, 45, 15, 4, 13], [46, 33, 20, 35, 36, 3, 28], [27, 32, 9, 30, 22, 31, 8, 48, 14], [12]]"
"[[29, 12, 18], [3, 2, 34, 39, 10, 5, 37], [38, 21, 20, 36, 22, 32, 8, 43, 6], [13, 41, 42, 45, 33, 9, 11, 35, 28], [46, 47, 4, 44, 15, 49, 30, 50, 1, 31, 23], [27, 48, 26, 7, 24, 14, 25, 40, 19, 17, 16]]"
"[[13, 25, 43, 26, 8, 22, 16, 38, 5], [37, 17, 19, 40, 44, 15, 33, 49, 30, 50, 21, 1, 23], [14, 24, 7, 48, 31, 3, 36, 34, 10, 32], [12, 47, 4, 42, 9], [6, 27, 28, 35, 20, 29, 2, 46], [11, 39, 45, 41, 18]]"
"[[12, 4, 13, 40, 15, 9, 16, 31, 48], [2, 22, 3, 36, 35, 20, 29, 21, 10, 45], [27, 32, 1, 8, 26, 7, 23, 43, 24, 14, 42], [18, 17, 37, 44, 39, 49, 5, 46], [6, 25, 47, 34], [28, 11, 38, 50, 30, 33, 19, 41]]"

ESTADÍSTICAS
operador,2-opt
instancia,CMT1.vrp
conSplit,true
num_ejecuciones,30
tiempo_total_ms,552.8539
mejor_costo,853.08
mejor_ruta,"[[12, 37, 15, 30, 34, 16, 2, 32], [18, 43, 26], [5, 45, 39, 9, 38, 11, 3, 28, 6], [27, 48, 23, 7, 22, 20, 21, 44, 42, 40, 46], [1, 24, 14, 25, 13, 41, 19], [8, 31, 36, 35, 29, 50, 49, 10, 33, 17, 4, 47]]"
peor_costo,986.95
peor_ruta,"[[4, 19, 40, 23], [11, 5, 30, 20, 35, 28, 8], [17, 37, 33, 45, 41, 13, 25, 6], [46, 38, 10, 34, 29, 2, 31, 18], [32, 1, 7, 43, 14, 44, 12], [42, 49, 9, 50, 21, 36, 3, 22, 26, 48, 27], [24, 47, 15, 39, 16]]"
promedio,934.61
desviacion_tipica,30.93
