ruta_final
"[[27, 48, 8, 26, 7, 24, 43, 23, 6], [46, 12, 38, 9, 30, 39, 10, 49, 5], [11, 2, 16, 50, 21, 34, 29, 32], [1, 22, 31, 28, 20, 36, 35, 3], [47, 17, 37, 33, 45, 15, 44, 18], [14, 25, 13, 41, 40, 19, 42, 4]]"
"[[47, 17, 4, 18, 13, 14, 25], [15, 45, 33, 39, 10, 30, 34, 50, 38], [5, 49, 9, 2, 20, 35, 36, 22, 1], [42, 19, 40, 41, 44, 37, 12, 46], [24, 43, 23, 7, 26, 8, 27], [32, 11, 16, 21, 29, 3, 28, 31, 48, 6]]"
"[[38, 49, 10, 39, 33, 45, 15, 12], [1, 2, 9, 50, 16, 29, 21, 34, 30], [32, 11, 5, 37, 44, 17, 4, 47, 46], [27, 8, 31, 28, 3, 36, 35, 20, 22], [48, 26, 7, 43, 23, 6, 24, 25, 14], [42, 19, 41, 40, 13, 18]]"
"[[48, 31, 28, 36, 35, 20, 3], [15, 45, 33, 39, 10, 9, 16, 11], [5, 38, 32, 1, 22, 8, 26, 7, 43, 24, 23], [49, 30, 34, 50, 21, 29, 2], [46, 12, 37, 44, 42, 40, 41, 19, 13], [27, 47, 17, 4, 18, 25, 14, 6]]"
"[[27, 48, 26, 8, 31, 28], [17, 42, 44, 4, 41, 40, 19, 13, 18], [6, 43, 23, 7, 24, 14, 25], [22, 3, 36, 35, 20, 29, 2, 1, 32], [11, 16, 21, 34, 50, 9, 38, 12, 46], [47, 37, 5, 49, 30, 39, 10, 33, 45, 15]]"
"[[11, 2, 29, 20, 35, 36, 3, 28, 22], [12, 15, 45, 33, 39, 10, 49, 5], [25, 13, 19, 41, 40, 42, 44, 37], [1, 8, 48, 26, 31, 32], [46, 38, 9, 50, 30, 34, 21, 16], [23, 7, 43, 24, 14, 27, 6], [47, 17, 4, 18]]"
"[[25, 14, 18, 6], [12, 4, 13, 17, 15, 44, 37, 47], [49, 10, 39, 33, 45, 42, 40, 19, 41], [38, 9, 30, 34, 50, 16, 2, 22, 1], [46, 5, 11, 32, 27, 48, 23, 24, 43, 7], [8, 26, 31, 28, 3, 36, 35, 20, 29, 21]]"
"[[13, 41, 19, 40, 42, 44, 37, 12, 46], [34, 30, 9, 49, 38, 11, 32], [23, 43, 7, 31, 8, 28, 26, 1], [5, 10, 39, 33, 45, 15, 17, 4, 18, 6], [22, 3, 35, 36, 20, 2, 29, 21, 50, 16], [27, 48, 24, 25, 14, 47]]"
"[[48, 26, 8, 31, 28, 3, 22, 1, 27], [42, 19, 40, 41, 13, 6], [10, 39, 33, 45, 15, 44, 37, 5, 38, 11, 46], [23, 7, 43, 24, 14, 25, 18, 4, 17], [32, 16, 34, 30, 12, 47], [49, 9, 50, 21, 29, 20, 36, 35, 2]]"
"[[18, 13, 40, 41, 19, 42], [47, 4, 17, 44, 15, 9, 16, 29, 21, 34, 50, 38], [12, 5, 49, 10, 30, 39, 33, 45, 37], [14, 25, 6, 46], [31, 28, 20, 35, 36, 3, 2, 11], [48, 23, 24, 43, 7, 26, 8, 22, 32, 1, 27]]"
"[[18, 6, 48, 8, 28, 22, 31, 26], [27, 23, 7, 43, 24, 25, 14], [47, 4, 19, 13, 41, 40, 42, 44, 17, 46], [11, 38, 16, 29, 36, 3, 20, 35, 1], [32, 2, 21, 34, 50, 9], [37, 15, 45, 33, 39, 30, 10, 49, 5, 12]]"
"[[2, 20, 3, 36, 35, 29, 21, 16, 11], [32, 8, 26, 7, 31, 28, 22, 1], [27, 48, 23, 43, 24, 13, 41, 19, 40, 42], [12, 45, 15, 33, 37, 44, 17, 4], [9, 10, 30, 39, 34, 50, 38, 49, 5], [46, 47, 18, 25, 14, 6]]"

ESTADÍSTICAS
operador,Genetico
instancia,CMT1
conSplit,true
num_ejecuciones,30
tiempo_total_ms,341174.1081
mejor_costo,615.46
mejor_ruta,"[[27, 1, 31, 28, 3, 20, 36, 35, 22, 32], [48, 8, 26, 7, 23, 43, 24, 6, 46], [12, 5, 10, 30, 39, 33, 45, 15], [11, 38, 49, 9, 50, 34, 21, 29, 2, 16], [4, 40, 19, 42, 44, 37, 17, 47], [14, 25, 41, 13, 18]]"
peor_costo,659.71
peor_ruta,"[[2, 20, 3, 36, 35, 29, 21, 16, 11], [32, 8, 26, 7, 31, 28, 22, 1], [27, 48, 23, 43, 24, 13, 41, 19, 40, 42], [12, 45, 15, 33, 37, 44, 17, 4], [9, 10, 30, 39, 34, 50, 38, 49, 5], [46, 47, 18, 25, 14, 6]]"
promedio,644.40
desviacion_tipica,10.38
