ruta_final
"[[32, 2, 36, 35, 21, 34, 9, 5, 12], [1, 22, 28, 3, 20, 29, 16, 50, 38, 11, 46], [8, 31, 26, 48], [49, 10, 30, 39, 33, 45, 15, 37, 47], [23, 7, 43, 24, 14, 25, 18], [4, 13, 41, 40, 19, 42, 44, 17], [27, 6]]"
"[[12, 37, 15, 45, 44, 17], [46, 32, 2, 20, 35, 36, 3, 1, 27], [47, 18, 14, 24, 43, 7, 23], [5, 38, 9, 50, 22, 28, 31, 26, 8, 48], [4, 42, 19, 40, 41, 13, 25, 6], [49, 10, 33, 39, 30, 34, 21, 29, 16, 11]]"
"[[32, 22, 20, 2, 16], [47, 4, 25, 14, 24, 43, 7, 23], [27, 1, 28, 31, 26, 8, 48, 6], [46, 12, 5, 50, 34, 21, 29, 35, 36, 3], [37, 15, 45, 33, 39, 10, 30, 9, 49, 38, 11], [17, 44, 42, 19, 40, 41, 13, 18]]"
"[[47, 4, 41, 40, 19, 42, 17], [12, 37, 44, 15], [46, 5, 49, 9, 16, 38, 11], [8, 3, 36, 35, 20, 32], [27, 1, 22, 28, 31, 26, 7, 43, 24, 23, 48, 6], [14, 25, 13, 18], [2, 29, 21, 50, 34, 30, 10, 39, 33, 45]]"
"[[5, 49, 34, 30, 10, 39, 33, 45, 15], [11, 38, 9, 50, 21, 29, 28, 31, 26, 8], [23, 43, 7, 48], [46, 32, 16, 2, 20, 35, 36, 3, 22, 1, 27], [12, 37, 44, 17, 4, 18, 14], [6, 24, 25, 13, 41, 40, 19, 42, 47]]"
"[[32, 1, 2, 29, 21, 34, 30, 39, 10, 49], [48, 8, 26, 7, 23, 43, 24, 25, 14], [22, 3, 20, 35, 36, 28, 31], [12, 5, 38, 9, 50, 16, 11], [18, 4, 17, 44, 45, 33, 15, 37], [46, 47, 42, 19, 40, 41, 13, 6, 27]]"
"[[11, 38, 49, 5, 37, 17, 18, 14], [6, 23, 7, 43, 24, 25, 13, 41, 4], [32, 2, 20, 29, 16], [9, 50, 21, 34, 30, 10, 39, 33, 45, 15], [47, 19, 40, 42, 44, 12, 46, 27], [48, 8, 26, 31, 28, 36, 35, 3, 22, 1]]"
"[[27, 8, 26, 31, 28], [11, 29, 21, 34, 30, 39, 33, 10, 5], [1, 22, 3, 36, 35, 20, 2, 32], [46, 38, 16, 50, 9, 49, 37, 17, 42, 40, 19, 4, 47], [48, 23, 7, 43, 24, 25, 14, 6], [18, 13, 41, 44, 45, 15, 12]]"
"[[6, 23, 7, 43, 24, 13, 40, 41], [47, 18, 25, 14], [11, 38, 9, 50, 16, 21, 29, 2, 32], [37, 15, 45, 33, 39, 10, 30, 34, 49, 5], [46, 12, 17, 44, 42, 19, 4], [48, 8, 26, 31, 28, 3, 36, 35, 20, 22], [27, 1]]"
"[[48, 31, 28, 3, 20, 2, 32], [46, 12, 47, 18, 25, 14], [11, 5, 37, 44, 42, 19, 40, 41, 13, 4], [16, 29, 35, 36, 21, 50, 34, 30, 9, 38], [6, 23, 24, 43, 7, 26, 8, 22, 1, 27], [17, 15, 45, 33, 39, 10, 49]]"
"[[12], [11, 16, 21, 29, 35, 36, 3, 20, 2, 32], [38, 9, 50, 34, 30, 39, 33, 45, 15, 5], [27, 48, 23, 7, 43, 24, 14, 6], [18, 4, 41, 40, 19, 42, 44, 17, 47], [46], [49, 10, 37, 13, 25, 8, 26, 31, 28, 22, 1]]"
"[[27, 1, 22, 16, 50, 10, 39, 33, 45, 49, 38, 11], [14, 25, 24, 43, 7, 23, 6], [48, 8, 26, 31, 28, 3, 36, 35], [32, 2, 20, 29, 21, 34, 30, 9], [18, 13, 41, 40, 19, 42, 4, 47], [46, 5, 15, 44, 37, 17, 12]]"
"[[49, 10, 39, 33, 45, 15], [41, 40, 19, 42, 44, 37, 5, 38, 46], [12, 17, 4, 13, 25, 18, 47], [6, 27, 22, 28, 3, 36, 35, 20, 29, 2], [32, 1, 31, 26, 8, 48, 23, 7, 43, 24, 14], [11, 16, 50, 21, 34, 30, 9]]"
"[[32, 1, 27, 48, 23, 7, 43, 24], [22, 20, 35, 36, 3, 28, 31, 26, 8], [47, 17, 19, 41, 4, 18], [11, 16, 50, 9, 10, 49, 38], [15, 45, 33, 39, 30, 34, 21, 29, 2], [5, 37, 44, 42, 40, 13, 25, 14, 6], [46, 12]]"
"[[27, 1, 22, 28, 31, 26, 7, 23], [6, 43, 24, 13, 41, 40, 19, 42, 44, 17], [48, 8, 3, 36, 35, 20, 29, 21, 2], [37, 15, 45, 33, 39, 30, 10, 49], [14, 25, 18, 4, 47, 12], [46, 5, 9, 34, 50, 16, 38, 11, 32]]"
"[[11, 38, 16, 50, 34, 30, 39, 33, 45], [47, 4, 12], [14, 25, 24, 43, 7, 23, 6], [5, 49, 10, 9, 21, 29, 35, 20, 2], [48, 8, 26, 31, 28, 36, 3, 22, 1, 32], [18, 13, 41, 40, 19, 42, 44, 15, 37, 17], [46, 27]]"
"[[47, 4, 18, 25, 14, 24, 6], [5, 49, 9, 38, 46], [2, 36, 35, 21, 34, 50, 16, 11], [12, 17, 44, 42, 19, 40, 41, 13, 27, 32], [37, 15, 45, 33, 39, 10, 30, 29, 20, 3, 22], [1, 28, 31, 8, 26, 7, 43, 23, 48]]"
"[[12, 17, 42, 19, 40, 41, 13, 25], [6, 23, 48, 8, 22, 3, 36, 35, 20, 29, 21], [14, 24, 43, 7, 26, 31, 28, 1, 27], [46, 5, 37, 15, 44, 4, 18, 47], [11, 50, 16, 2, 32], [49, 10, 45, 33, 39, 30, 34, 9, 38]]"
"[[12, 37, 17, 42, 44, 15, 45, 33, 49, 38], [6, 7, 26, 8, 48, 27], [47, 4, 19, 40, 41, 13, 25, 14], [22, 31, 28, 3, 36, 35, 20, 11], [18, 24, 43, 23, 16, 50, 9], [32, 1, 2, 29, 21, 34, 30, 39, 10, 5, 46]]"
"[[1, 22, 28, 31, 26, 43, 24, 25, 14], [9, 50, 34, 30, 39, 33, 10, 49, 5], [38, 21, 29, 20, 35, 36, 3, 8, 7, 23], [27, 48, 6, 18, 4, 17, 47, 46], [32, 2, 16, 11], [13, 41, 40, 19, 42, 44, 45, 15, 37, 12]]"

ESTADÍSTICAS
operador,Combinacion 2-opt, OR-opt y Swap
instancia,CMT1.vrp
conSplit,true
num_ejecuciones,30
tiempo_total_ms,41499.5833
mejor_costo,602.57
mejor_ruta,"[[14, 25, 18, 4, 47, 12], [46, 38, 9, 30, 39, 33, 10, 49, 5], [11, 2, 29, 20, 28, 31, 8], [16, 50, 34, 21, 35, 36, 3, 22, 1, 32], [6, 23, 24, 43, 7, 26, 48, 27], [13, 41, 40, 19, 42, 44, 45, 15, 37, 17]]"
peor_costo,645.81
peor_ruta,"[[47, 37, 15, 45, 33, 39, 30, 10, 5], [44, 42, 19, 40, 41, 13, 18], [14, 25, 4, 17, 49, 9, 34, 50, 38], [24, 43, 23, 48, 27], [11, 16, 21, 29, 20, 3, 22, 1, 32], [6, 7, 26, 8, 31, 28, 36, 35, 2], [46, 12]]"
promedio,620.11
desviacion_tipica,11.91
