ruta_final
"[[20, 36, 35, 3, 22, 32, 46], [15, 44, 42, 40, 19, 41, 13, 4], [12, 47, 17, 37, 49, 10, 5, 38], [11, 50, 34, 9, 30, 39, 33, 45], [2, 29, 21, 16], [1, 8, 31, 28, 26, 23, 43, 7, 48], [18, 25, 14, 24, 6, 27]]"
"[[38, 16, 50, 34, 9, 40, 41, 19, 42], [26, 8, 22, 2, 29, 21, 30, 39, 15, 37], [4, 13, 25, 14, 6, 27, 1, 32], [47, 18, 24, 43, 23, 7, 48], [46, 5, 49, 10, 33, 45, 44, 17, 12], [31, 28, 3, 36, 35, 20, 11]]"
"[[1, 31, 28, 3, 20, 2], [49, 10, 30, 34, 39, 33, 45, 15, 37], [22, 36, 35, 29, 21, 16, 50, 9, 38], [18, 41, 19, 40, 42, 44, 47], [4, 13, 25, 14, 24, 43, 7, 26, 8], [27, 23, 48, 6, 46, 12, 17, 5, 11, 32]]"
"[[47, 4, 41, 13, 18], [16, 50, 21, 29, 20, 2, 11], [12, 17, 42, 19, 40, 44, 15, 10, 49, 5, 46], [37, 45, 33, 39, 30, 34, 9, 38], [23, 7, 43, 24, 25, 14, 6, 48, 27], [32, 22, 28, 36, 35, 3, 8, 26, 31, 1]]"
"[[6, 23, 7, 26, 31, 3, 35, 36, 28, 22, 1], [27, 8, 48, 43, 24, 14], [50, 21, 34, 39, 33, 45, 15, 37], [25, 13, 18, 4, 47], [11, 16, 9, 30, 10, 49, 38, 5, 17, 12, 46], [41, 40, 19, 42, 44, 29, 20, 2, 32]]"
"[[23, 7, 43, 24, 14, 6, 47, 12], [11, 29, 21, 34, 10, 33, 39, 30, 49, 5], [2, 3, 20, 36, 35, 31, 28, 22, 32], [38, 16, 50, 9, 15, 45, 44, 17, 37], [46], [41, 19, 40, 42, 4, 18, 13, 25], [27, 1, 8, 26, 48]]"
"[[16, 50, 34, 30, 9, 5, 12], [32, 2, 29, 21, 28, 31, 26, 48], [24, 43, 7, 23], [45, 33, 39, 10, 49, 38, 11], [15, 37, 17, 4, 14, 25, 18, 47], [27, 8, 20, 35, 36, 3, 22, 1, 46], [6, 13, 41, 40, 19, 42, 44]]"
"[[2, 20, 35, 36, 3, 22, 1], [17, 44, 42, 19, 40, 13, 41, 18, 4], [37, 15, 45, 33, 39, 30, 10, 49], [46, 11, 32, 26, 7, 43, 23], [9, 34, 50, 38, 5, 12], [47, 14, 25, 24, 6], [27, 48, 8, 31, 28, 29, 21, 16]]"
"[[19, 40, 41, 18, 4, 17, 37, 12], [47, 13, 25, 14, 24, 43, 7, 1, 27], [8, 26, 31, 28, 20, 36, 35, 3, 22], [6, 23, 48, 32, 11, 16, 2, 29, 21, 50], [46, 42, 44, 15, 45, 33, 39, 5], [9, 34, 30, 10, 49, 38]]"
"[[14, 25], [1, 22, 31, 26, 28, 35, 36, 3, 20], [17, 19, 41, 40, 42, 44, 10, 49, 5], [47, 4, 13, 18], [32, 29, 21, 34, 50, 16, 2, 11, 46], [38, 9, 30, 39, 33, 45, 15, 37, 12], [6, 48, 23, 7, 43, 24, 8, 27]]"
"[[23, 24, 14, 13, 25, 6, 46], [7, 43, 26, 1, 11, 38, 5, 12], [48, 8, 31, 28, 22, 27], [15, 44, 41, 40, 42, 19, 4, 18, 47], [32, 2, 16, 21, 29, 20, 36, 35, 3], [17, 37, 49, 10, 45, 33, 39, 30, 34, 50, 9]]"
"[[49, 9, 50, 21, 16, 38, 11], [46, 27, 48, 43, 24, 14, 25, 18], [32, 2, 35, 36, 20, 29], [6, 23, 7, 26, 8, 28, 31, 3, 22, 1], [47, 4, 17, 37], [12, 5, 10, 34, 30, 39, 33, 45], [13, 40, 19, 41, 42, 44, 15]]"
"[[35, 36, 3, 28, 20, 2], [18, 13, 41, 19, 40, 42, 44, 15], [23, 7, 43, 24, 14, 25, 4, 47], [5, 38, 49, 9, 37, 17, 12], [45, 33, 39, 10, 30, 34, 21, 29, 22, 1, 27], [6, 48, 26, 31, 8, 32, 11, 50, 16, 46]]"
"[[5, 45, 33, 10, 39, 49, 38], [47, 42, 19, 40, 41, 13, 25, 14], [27, 6, 24, 23, 43, 7, 26, 8, 48], [12, 37, 15, 44, 17, 4, 18], [11, 22, 35, 36, 3, 20, 1, 32, 46], [50, 16, 2, 29, 21, 9, 30, 34, 28, 31]]"
"[[5, 15, 45, 33, 39, 30, 9], [4, 41, 40, 13, 24, 43, 6], [38, 49, 10, 37, 17, 19, 42, 44, 12], [32, 2, 29, 21, 34, 50, 16, 11, 46], [27, 22, 28, 3, 36, 35, 20, 1], [25, 14, 18, 47], [48, 8, 31, 26, 7, 23]]"

ESTADÍSTICAS
operador,Swap
instancia,CMT1.vrp
conSplit,true
num_ejecuciones,30
tiempo_total_ms,20783.3068
mejor_costo,636.60
mejor_ruta,"[[47, 4, 41, 13, 18], [16, 50, 21, 29, 20, 2, 11], [12, 17, 42, 19, 40, 44, 15, 10, 49, 5, 46], [37, 45, 33, 39, 30, 34, 9, 38], [23, 7, 43, 24, 25, 14, 6, 48, 27], [32, 22, 28, 36, 35, 3, 8, 26, 31, 1]]"
peor_costo,703.77
peor_ruta,"[[5, 42, 41, 19, 40, 13], [12, 14, 25, 18, 17, 4, 47], [1, 3, 20, 2, 22, 28, 31, 26], [27, 8, 36, 35, 29, 21, 34, 16, 11, 32], [48, 23, 7, 43, 24, 6, 46], [37, 15, 44, 45, 49, 30, 50, 9, 10, 39, 33, 38]]"
promedio,676.05
desviacion_tipica,13.27
