ruta_final
"[[18, 23, 43, 20], [46, 14, 13, 37, 5, 50, 35, 28, 26, 1, 38], [40, 45, 49, 16, 2, 36, 31, 48, 7, 27, 32], [8, 22, 3, 34, 9, 6], [25, 24, 4, 19, 17, 47, 12], [41, 42, 44, 15, 33, 10, 39, 30, 29, 21, 11]]"
"[[12, 5, 17, 45, 33, 39, 10, 30, 29, 21, 49], [18, 27, 48, 26, 3, 34, 50, 9], [46, 2, 36, 23, 19, 47], [11, 38, 15, 42, 32, 31, 22, 43, 7, 24, 14], [13, 8, 28, 35, 20, 16, 1], [6, 25, 40, 41, 4, 44, 37]]"
"[[47, 17, 13, 44, 15, 30, 29, 35, 36, 28, 26, 31], [43, 23, 14, 25, 42, 19, 10, 50, 1, 2], [48, 3, 20, 21, 39, 49, 9, 16, 38], [18, 41, 40, 33, 34, 5, 32], [6, 24, 37, 12], [46, 27, 7, 8, 22, 11, 45, 4]]"
"[[9, 44, 17, 42, 40, 25, 24], [33, 30, 21, 5, 4, 13, 47], [1, 32, 35, 29, 34, 10, 39, 45, 15, 37, 46, 12], [27, 8, 20, 43, 18], [6, 14, 41, 49, 38, 50, 16, 36, 26, 48], [11, 2, 3, 22, 28, 31, 7, 23, 19]]"

ESTADÍSTICAS
operador,OR-opt
instancia,CMT1.vrp
conSplit,true
num_ejecuciones,30
tiempo_total_ms,1929.6163
mejor_costo,941.44
mejor_ruta,"[[13, 19, 12, 27, 28, 8, 11, 5], [7, 48, 22, 2, 16, 34, 39, 10, 9, 38], [46, 6, 31, 3, 29, 21, 30, 45, 33, 42, 40, 41], [49, 50, 1], [32, 26, 23, 24, 14, 25, 44, 15, 47], [43, 18, 4, 17, 37, 20, 36, 35]]"
peor_costo,1048.37
peor_ruta,"[[12, 37, 4, 48, 28, 36, 35, 32], [23, 6, 14, 41, 19, 40, 42, 45, 38, 29], [46, 30, 49, 47, 13, 7, 27], [44, 39, 50, 21, 16, 2, 8], [24, 18, 26, 1, 34, 10, 33, 15], [25, 43, 17, 5, 9, 20, 3, 31, 22, 11]]"
promedio,1002.84
desviacion_tipica,26.19
