ruta_final
"[[80, 81, 35, 66, 63, 47, 49, 43, 37], [58, 13, 15, 56, 22, 73, 28, 60, 36, 11, 62, 70, 65, 78, 79, 29], [95, 97, 96, 93, 86, 17, 8, 90, 10, 51, 9, 77, 55, 1, 27], [54, 39, 41, 53, 98, 91, 38, 85, 99, 83, 18, 52], [23, 25, 34, 68, 12, 88, 19, 64, 31], [4, 57, 2, 89], [67, 24, 33, 30, 32, 48, 7, 84, 14, 42, 87], [69, 46, 61, 44, 94, 59, 40, 21, 76, 50, 71], [3, 20, 82, 45, 5, 100, 16, 92, 6, 75, 74, 72, 26]]"
"[[28, 54, 78, 8, 59, 37, 53], [13, 3, 25, 51, 32, 11, 82, 83, 85, 98, 89], [27, 94, 100, 14, 38, 43, 21, 67, 55, 35, 80, 58], [16, 46, 7, 62, 31, 30, 68, 74, 26], [81, 1, 10, 90, 19, 36, 49, 86, 97], [50, 76, 33, 9, 65, 64, 70, 18, 96, 40, 77, 29, 24, 4, 75, 22], [52, 69, 17, 61, 95, 57, 15, 41, 39, 12], [72, 23, 56, 66, 71, 34, 79, 73, 87, 42, 45, 84], [2, 91, 44, 93, 60, 88, 63, 20, 47, 48, 5, 99, 92, 6]]"
"[[13, 84, 8, 48, 47, 32, 66, 24, 56, 74], [64, 49, 46, 93], [73, 23, 25, 15, 43, 95, 98, 31, 11, 35, 65, 29], [77, 80, 34, 9, 51, 20, 63, 10, 45, 61, 86, 14, 97], [6, 59, 16, 60, 7, 71, 79, 68, 26, 40], [57, 42, 100, 85, 91, 44, 17, 19, 30, 70, 69, 1, 55, 75, 72], [12, 54, 78, 33, 58, 53, 94, 87, 18, 27], [88, 81, 76, 28, 4, 67, 21], [52, 90, 50, 3, 39, 22, 2, 92, 38, 99, 5, 83, 89], [62, 36, 82, 96, 37, 41]]"
"[[20, 65, 71, 9, 78, 81, 64, 36, 100, 85, 57, 72], [52, 45, 86, 38, 14, 43, 56, 24, 79, 35, 62, 69, 89, 28], [53, 6, 96, 83, 60, 8, 19, 90, 10, 31, 51, 77, 67, 2, 92, 87], [4, 40, 42, 97, 95, 59, 98, 16, 91, 5, 46, 63, 1, 70], [93, 94], [32, 50, 12, 68, 55, 39, 23], [84, 99, 18, 88, 82, 48, 49, 66, 27], [26, 80, 33, 54, 21, 73, 75, 22, 41, 58, 37, 17, 61, 47, 11], [76, 3, 29, 34, 30, 7, 44, 15, 74, 25, 13]]"
"[[18, 45, 88, 90, 66, 51, 81, 33, 78, 79, 3], [47, 82, 5, 38, 43, 73, 21, 26, 80], [52, 31, 92, 44, 87, 41, 55, 67, 68], [10, 75, 42, 85, 86, 96], [60, 49, 30, 32, 9, 35, 65, 29, 25, 74, 94, 53], [20, 48, 46, 59, 99, 6], [57, 15, 22, 23, 56, 39, 4, 24, 27, 7, 63, 36, 17, 61, 100, 91], [28, 40, 58, 72, 2, 93, 16, 84, 83, 89, 8, 11, 64, 70, 50], [13, 95, 14, 37, 98, 19, 62, 1, 76, 77, 54], [97, 69, 71, 34, 12]]"
"[[95], [51, 20, 35, 81, 33, 39, 56, 99, 59, 19, 10, 62, 88], [16, 97, 42, 57, 2, 73, 41, 75, 4, 3, 29, 28], [18, 7, 45, 94, 87, 23, 72], [69, 70, 30, 63, 82, 46, 83, 84, 44, 1, 76, 79, 55, 12, 27], [80, 68, 22, 15, 98, 91, 85, 61, 11, 36, 13], [6, 89, 17, 14, 38, 43, 74, 24, 78, 34, 9, 65, 66, 90, 52], [58, 40, 5, 47], [53, 92, 96, 93, 49, 64, 71, 77, 54, 25, 67, 26, 21], [60, 100, 37, 86, 8, 48, 31, 32, 50]]"
"[[26, 39, 55, 80, 29, 65, 64, 62, 7, 96, 44, 42, 95, 13], [41, 21, 97, 61, 49, 19, 66, 71, 35, 51, 12, 77], [92, 86, 8, 47, 10, 20, 33, 15, 72, 75, 4, 54], [52, 59, 100, 37, 91, 17, 36, 81, 79, 68, 67, 2, 40], [27, 3, 24], [56, 23, 98, 94, 89, 70, 32, 78, 50, 1, 28, 53], [48, 46, 82, 88, 69, 6, 85, 93, 57, 58], [18, 31, 11, 30, 9, 25, 22, 43, 87], [99, 5, 84, 45, 83, 60, 90, 63, 34, 76, 74, 73, 38, 14, 16]]"
"[[85, 57, 26, 78, 24, 52], [89, 99, 16, 44, 98, 13, 73, 72, 28, 7, 32, 51], [74, 12, 54, 50, 20, 66, 35, 9, 88, 82, 60, 84, 14, 93, 69], [83, 45, 46, 64, 11, 30, 34, 79, 25, 96], [4, 55, 39, 67, 75, 22, 41, 15, 38, 100, 5, 97], [53, 27, 33, 48, 47, 49, 17, 59], [95, 21, 56, 29, 76, 77, 3, 81, 71, 90, 63, 10, 8], [87, 43, 2, 58, 6, 61, 36, 65, 68, 80, 1], [40, 23, 42, 92, 37, 91, 86, 19, 62, 70, 31, 18, 94]]"
"[[28, 34, 29, 26, 74, 97, 92, 93, 59, 49, 36, 31], [52, 40, 56, 23, 15, 86, 17, 19, 88, 62, 90, 30, 69, 60], [80, 77, 24, 55, 25, 39, 75, 21, 72, 99, 16, 63, 20, 76], [6, 61, 85, 84, 5, 48, 81], [27, 54, 68, 79, 35, 9, 32, 64, 45], [18, 8, 47, 53, 73, 41, 4, 3, 33, 71], [10, 1, 50, 13, 58, 43, 37, 91, 95, 89], [94, 98, 42, 57, 22, 67, 44, 82, 46, 7, 66, 65, 78, 51], [96, 100, 38, 14, 87, 2, 12, 70, 11, 83]]"
"[[60, 91, 49, 64, 71, 78, 29, 68, 1], [66, 36, 46, 84, 85, 14, 98, 6, 2, 58], [51, 33, 34, 24, 23, 37, 61, 48, 7, 62, 27, 89], [53, 13, 56, 72, 22, 15, 43, 44, 17, 45, 19], [74, 4, 55, 79, 3, 76, 50, 94, 59, 95], [10, 31, 88, 8, 83, 38, 67, 75, 54, 26, 40], [99, 93, 16, 21, 77, 12, 81, 35, 20, 90, 82, 18], [52, 5, 86, 87, 97, 73, 41, 80, 28, 32, 70, 69], [25, 39, 57, 42, 92, 100, 96, 47, 63, 11, 30, 65, 9]]"
"[[69, 18, 45, 36, 62, 13, 15, 57, 68, 34, 79, 51, 30], [74, 72, 39, 75, 41, 6, 86, 8, 46, 71, 81, 24, 12], [84, 16, 88, 70, 66, 1, 27], [94, 93, 89, 52, 10, 20, 65, 33, 55, 54, 40, 21], [49, 47, 5, 59, 98, 44, 38, 61], [73, 22, 43, 42, 100, 92, 96, 82, 19, 11, 31, 3, 9, 28], [29, 76, 63, 85, 83], [23, 67, 25, 80, 60, 17, 37, 91, 50, 35, 32, 90, 64, 7, 48], [53, 58, 2, 95, 99, 14, 97, 87, 4, 56, 26, 77, 78]]"
"[[1, 81, 3, 79, 80, 56, 23, 21, 60, 93, 92, 59, 53], [6, 2, 57, 42, 43, 16, 86, 8, 46, 88, 32, 73, 54, 29, 77, 33, 69], [27, 45, 61, 98, 94, 28, 26, 67, 55, 24, 35, 34, 51], [68, 10, 63, 11, 36, 48, 82, 44, 22, 74, 76], [97, 5, 85, 14, 38, 15, 75, 39, 40, 12], [50, 70, 30, 20, 65, 71, 9, 90, 7, 52, 87, 100, 84, 18], [89, 62, 66, 49, 17, 83, 99, 95, 41, 72, 4], [58, 13, 91, 37, 96, 47, 64, 19, 31, 25, 78]]"

ESTADÍSTICAS
operador,OR-opt
instancia,CMT3.vrp
conSplit,true
num_ejecuciones,30
tiempo_total_ms,7763.1872
mejor_costo,1799.68
mejor_ruta,"[[1, 81, 3, 79, 80, 56, 23, 21, 60, 93, 92, 59, 53], [6, 2, 57, 42, 43, 16, 86, 8, 46, 88, 32, 73, 54, 29, 77, 33, 69], [27, 45, 61, 98, 94, 28, 26, 67, 55, 24, 35, 34, 51], [68, 10, 63, 11, 36, 48, 82, 44, 22, 74, 76], [97, 5, 85, 14, 38, 15, 75, 39, 40, 12], [50, 70, 30, 20, 65, 71, 9, 90, 7, 52, 87, 100, 84, 18], [89, 62, 66, 49, 17, 83, 99, 95, 41, 72, 4], [58, 13, 91, 37, 96, 47, 64, 19, 31, 25, 78]]"
peor_costo,1951.62
peor_ruta,"[[5, 67, 75, 41, 57, 17, 86, 46, 69, 30, 66, 10], [14, 43, 44, 83, 36, 49, 11, 89, 20, 65, 78], [16, 38, 42, 39, 22], [76, 81, 9, 63, 64, 19, 88, 33, 72, 2, 100, 99, 58], [26, 18, 8, 85, 87, 21, 73, 68, 34, 35], [40, 4, 54, 12, 29, 3, 71, 7, 47, 45], [60, 82, 62, 32, 79, 80, 24, 25, 55, 56, 91, 97, 95, 6, 94], [53, 74, 23, 13, 92, 59, 93, 61, 84, 90, 51, 1, 52, 28], [48, 31, 70, 77, 50, 15, 98, 37, 96, 27]]"
promedio,1887.15
desviacion_tipica,38.60
